ID,token_id,token,num_slot,dim_slot
3,2,с,O,O
3,3,возможностью,O,O
3,4,вставить,O,O
3,5,micro,O,O
3,6,sd,O,O
4,0,128,B,O
4,1,Гб,O,B
5,0,не,O,O
5,1,могу,O,O
5,2,знать,O,O
6,0,64,B,O
7,0,2t,O,O
8,0,32,B,O
8,1,или,O,B
8,2,64,B,O
8,3,Гб,O,B
9,0,32гб,O,O
10,0,128гб,O,O
11,0,32,B,O
12,0,а,O,O
12,1,это,O,O
12,2,разные,O,O
12,3,вещи?),O,O
13,0,256Gb,O,O
14,0,128,B,O
15,0,32,B,O
15,1,Гб,O,B
16,0,64,B,O
16,1,Гб,O,B
17,0,У,O,O
17,1,моего,O,O
17,2,телефона,O,O
17,3,256,B,O
17,4,Гб,O,B
17,5,памяти,O,O
18,0,128,B,O
18,1,гб,O,B
19,0,32гб,O,O
20,0,64,B,O
20,1,гб,O,B
0,0,150,B,O
0,1,грамм,O,B
1,0,Достаточно,O,O
1,1,тяжелый,O,O
2,0,172,B,O
3,0,Точно,O,O
3,1,не,O,O
3,2,"помню,",O,O
3,3,но,O,O
3,4,телефон,O,O
3,5,легкий,O,O
4,0,Нормальный,O,O
4,1,вес,O,O
5,0,200,B,O
5,1,фунтов,O,B
6,0,"199,8",B,O
6,1,Г,O,B
7,0,218,B,O
7,1,gamm,O,B
8,0,Меньше,O,O
8,1,200,B,O
8,2,грамм,O,B
9,0,-,O,O
10,0,не,O,O
10,1,знаю,O,O
11,0,Средний,O,O
12,0,Не,O,O
12,1,знаю,O,O
13,0,200g,O,O
14,0,174,B,O
14,1,грамма,O,B
15,0,легкий)),O,O
15,1,не,O,O
15,2,помню,O,O
16,0,800,B,O
16,1,грамм,O,B
17,0,Мой,O,O
17,1,телефон,O,O
17,2,весит,O,O
17,3,примерно,O,O
17,4,200,B,O
17,5,грамм,O,B
18,0,По,O,O
18,1,ощущениям,O,O
18,2,грамм,O,O
18,3,400,B,O
19,0,200г,O,O
20,0,Грамм,O,O
20,1,200,B,O
0,0,1800,B,O
0,1,mah,O,B
1,0,Разряжается,O,O
1,1,за,O,O
1,2,несколько,O,O
1,3,часов,O,O
2,0,3320,B,O
3,0,3600,B,O
3,1,мА,O,B
4,0,Очень,O,O
4,1,большая,O,O
4,2,по,O,O
4,3,сравнению,O,O
4,4,с,O,O
4,5,обычными,O,O
4,6,телефонами.,O,O
5,0,2,B,O
5,1,часа,O,B
6,0,4000,B,O
6,1,мАч,O,B
7,0,9600,B,O
7,1,mh,O,B
8,0,примерно,O,O
8,1,4500,B,O
8,2,мач,O,B
9,0,-,O,O
10,0,не,O,O
10,1,"знаю,",O,O
10,2,но,O,O
10,3,сутки,O,O
10,4,в,O,O
10,5,рабочем,O,O
10,6,режиме,O,O
10,7,держит,O,O
11,0,4000,B,O
12,0,Без,O,O
12,1,понятия,O,O
13,0,1600mah,O,O
14,0,2716,B,O
14,1,Мач,O,B
15,0,Зарадки,O,O
15,1,хватает,O,O
15,2,на,O,O
15,3,целый,O,O
15,4,день,O,O
16,0,3200,B,O
16,1,mA/h,O,B
17,0,Емкость,O,O
17,1,аккумулятора,O,O
17,2,моего,O,O
17,3,телефона,O,O
17,4,составляет,O,O
17,5,примерно,O,O
17,6,2650,B,O
17,7,мАч,O,B
18,0,Вроде,O,O
18,1,бы,O,O
18,2,400,B,O
18,3,мАч,O,B
19,0,3600мАч,O,O
20,0,Хватает,O,O
20,1,на,O,O
20,2,день,O,O
20,3,с,O,O
20,4,трудом,O,O
0,0,1,B,O
1,0,Одну,O,O
2,0,2,B,O
3,0,В,O,O
3,1,него,O,O
3,2,можно,O,O
3,3,вставить,O,O
3,4,2,B,O
3,5,симкарты,O,B
4,0,Одну,O,O
5,0,2,B,O
6,0,2,B,O
7,0,4,B,O
8,0,2,B,O
9,0,1,B,O
10,0,1,B,O
11,0,2,B,O
12,0,1,B,O
13,0,1,B,O
14,0,1,B,O
15,0,одну,O,O
16,0,2,B,O
17,0,Мой,O,O
17,1,телефон,O,O
17,2,поддерживает,O,O
17,3,лишь,O,O
17,4,1,B,O
17,5,симкарту,O,B
18,0,2,B,O
19,0,1,B,O
20,0,Две,O,O
